date,stock market crash,should I sell stocks,recession 2024,inflation savings,gold buy now
2014-01-01,14,4,0,10,3
2014-02-01,18,4,0,10,2
2014-03-01,18,3,0,11,3
2014-04-01,21,6,0,10,3
2014-05-01,16,3,0,9,2
2014-06-01,10,3,0,6,2
2014-07-01,9,3,0,8,2
2014-08-01,9,3,0,7,2
2014-09-01,12,3,0,8,2
2014-10-01,16,7,0,10,3
2014-11-01,14,5,0,9,3
2014-12-01,16,6,0,8,3
2015-01-01,18,4,0,8,3
2015-02-01,17,5,0,11,2
2015-03-01,19,5,0,11,3
2015-04-01,17,5,0,11,2
2015-05-01,17,4,0,10,2
2015-06-01,12,5,0,6,2
2015-07-01,24,4,0,6,4
2015-08-01,61,11,0,6,4
2015-09-01,24,6,0,8,3
2015-10-01,15,3,0,10,2
2015-11-01,14,4,0,9,3
2015-12-01,15,4,0,8,4
2016-01-01,39,16,0,8,3
2016-02-01,24,5,0,12,4
2016-03-01,19,3,0,11,3
2016-04-01,18,4,0,12,3
2016-05-01,15,4,0,11,3
2016-06-01,20,6,0,8,4
2016-07-01,9,5,0,7,3
2016-08-01,9,4,0,6,3
2016-09-01,12,4,0,10,3
2016-10-01,14,6,0,10,4
2016-11-01,42,11,0,11,4
2016-12-01,14,8,0,10,4
2017-01-01,18,6,0,10,3
2017-02-01,19,5,0,12,3
2017-03-01,23,6,0,13,3
2017-04-01,17,5,0,15,2
2017-05-01,18,5,0,11,2
2017-06-01,12,6,0,9,2
2017-07-01,10,4,0,7,2
2017-08-01,13,5,0,8,3
2017-09-01,13,4,0,11,3
2017-10-01,17,5,0,11,3
2017-11-01,19,5,0,13,3
2017-12-01,19,7,0,12,3
2018-01-01,25,9,0,10,3
2018-02-01,100,16,0,12,3
2018-03-01,23,7,0,13,2
2018-04-01,20,5,0,14,2
2018-05-01,15,5,0,11,2
2018-06-01,11,4,0,7,2
2018-07-01,9,6,0,8,3
2018-08-01,11,7,0,8,2
2018-09-01,12,7,0,12,3
2018-10-01,35,12,0,12,3
2018-11-01,20,6,0,12,3
2018-12-01,43,17,0,10,3
2019-01-01,18,5,0,11,3
2019-02-01,18,5,0,13,2
2019-03-01,19,6,0,14,2
2019-04-01,17,5,0,14,2
2019-05-01,18,7,0,12,2
2019-06-01,10,5,0,9,3
2019-07-01,10,6,0,10,3
2019-08-01,16,11,0,8,4
2019-09-01,10,6,0,11,3
2019-10-01,15,6,0,13,3
2019-11-01,15,7,0,13,3
2019-12-01,15,7,0,12,3
2020-01-01,20,11,0,12,4
2020-02-01,41,36,0,16,5
2020-03-01,96,100,0,15,15
2020-04-01,37,28,0,16,12
2020-05-01,26,25,0,15,9
2020-06-01,25,28,0,12,8
2020-07-01,21,20,0,11,9
2020-08-01,20,19,0,12,11
2020-09-01,24,20,0,14,7
2020-10-01,23,18,0,17,5
2020-11-01,22,20,0,14,7
2020-12-01,25,20,0,15,6
2021-01-01,37,35,0,13,8
2021-02-01,38,35,0,17,9
2021-03-01,30,20,0,18,7
2021-04-01,23,17,0,16,6
2021-05-01,25,21,0,19,7
2021-06-01,18,13,0,14,5
2021-07-01,18,12,0,12,4
2021-08-01,13,11,0,11,4
2021-09-01,18,13,0,14,4
2021-10-01,19,11,0,20,5
2021-11-01,22,15,0,20,5
2021-12-01,18,17,0,17,4
2022-01-01,35,24,0,21,5
2022-02-01,28,26,0,25,6
2022-03-01,24,21,0,31,7
2022-04-01,26,18,0,35,5
2022-05-01,35,24,1,33,6
2022-06-01,23,23,1,25,5
2022-07-01,10,10,1,19,5
2022-08-01,9,11,1,22,5
2022-09-01,18,17,1,26,6
2022-10-01,15,12,1,31,6
2022-11-01,14,11,2,29,5
2022-12-01,13,13,1,23,4
2023-01-01,16,12,2,21,5
2023-02-01,19,13,2,29,5
2023-03-01,25,13,2,31,6
2023-04-01,14,10,2,26,6
2023-05-01,17,11,3,26,5
2023-06-01,8,11,3,17,4
2023-07-01,7,11,4,17,4
2023-08-01,32,11,6,17,4
2023-09-01,11,10,8,24,4
2023-10-01,16,12,11,28,5
2023-11-01,12,11,15,26,4
2023-12-01,16,14,30,22,5
2024-01-01,17,15,28,22,5
2024-02-01,22,18,57,30,5
2024-03-01,23,18,28,30,5
2024-04-01,20,15,24,33,7
2024-05-01,14,13,21,27,5
2024-06-01,13,16,19,19,5
2024-07-01,12,16,16,18,6
2024-08-01,74,26,56,16,6
2024-09-01,13,15,22,29,7
2024-10-01,17,16,13,30,8
2024-11-01,20,26,12,28,8
2024-12-01,21,23,8,23,6
2025-01-01,31,22,5,23,7
2025-02-01,35,31,4,32,9
2025-03-01,45,44,5,31,9
2025-04-01,71,65,6,31,14
2025-05-01,15,17,3,26,9
2025-06-01,12,22,4,19,9
2025-07-01,13,21,9,25,12
2025-08-01,31,26,70,57,46
2025-09-01,24,22,67,66,46
2025-10-01,43,28,55,63,38
2025-11-01,39,24,54,75,45
2025-12-01,28,22,42,90,52
2026-01-01,31,29,36,75,66
2026-02-01,35,24,52,75,54
2026-03-01,47,36,100,100,100
2026-04-01,33,29,93,98,51
2026-05-01,30,27,63,86,38
2026-06-01,18,29,21,38,18
